Folder,SDC count, Crash count, Benign count,Hang count,Total Fi runs
insert_it,156,252,92,0,500
insert_it,157,237,106,0,500
insert_it,166,243,91,0,500
insert_it,153,247,100,0,500
insert_it,154,249,97,0,500
insert_it,151,267,82,0,500
insert_it,170,241,89,0,500
insert_it,158,254,88,0,500
insert_it,170,239,91,0,500
insert_it,174,243,83,0,500
insert_it,168,246,86,0,500
insert_it,163,229,108,0,500
insert_it,157,256,87,0,500
insert_it,164,250,86,0,500
insert_it,167,239,94,0,500
insert_it,136,265,99,0,500
insert_it,181,231,88,0,500
insert_it,170,231,99,0,500
insert_it,180,232,88,0,500
insert_it,170,240,90,0,500
insert_it,160,244,96,0,500
insert_it,172,246,82,0,500
insert_it,166,246,88,0,500
insert_it,157,256,87,0,500
insert_it,141,272,87,0,500
insert_it,159,241,100,0,500
insert_it,181,239,80,0,500
insert_it,167,240,93,0,500
insert_it,164,245,91,0,500
insert_it,164,261,75,0,500
insert_it,167,253,80,0,500
insert_it,140,258,102,0,500
insert_it,153,252,95,0,500
insert_it,162,259,79,0,500
insert_it,154,248,98,0,500
insert_it,172,235,93,0,500
insert_it,189,246,65,0,500
insert_it,157,259,84,0,500
insert_it,157,251,92,0,500
insert_it,157,262,81,0,500
insert_it,144,253,103,0,500
insert_it,162,245,93,0,500
insert_it,163,257,80,0,500
insert_it,151,241,108,0,500
insert_it,162,240,98,0,500
insert_it,164,254,82,0,500
insert_it,165,238,97,0,500
insert_it,142,276,82,0,500
insert_it,171,239,90,0,500
insert_it,174,234,92,0,500
