Folder,SDC count, Crash count, Benign count,Hang count,Total Fi runs
quick_it,192,191,117,0,500
quick_it,182,195,123,0,500
quick_it,194,210,96,0,500
quick_it,196,196,108,0,500
quick_it,199,182,119,0,500
quick_it,180,200,120,0,500
quick_it,198,177,125,0,500
quick_it,199,185,116,0,500
quick_it,213,178,109,0,500
quick_it,184,210,106,0,500
quick_it,185,203,112,0,500
quick_it,189,206,105,0,500
quick_it,197,206,97,0,500
quick_it,198,192,110,0,500
quick_it,201,193,106,0,500
quick_it,177,214,109,0,500
quick_it,192,172,136,0,500
quick_it,209,180,111,0,500
quick_it,200,200,100,0,500
quick_it,193,195,112,0,500
quick_it,181,206,113,0,500
quick_it,209,187,104,0,500
quick_it,201,192,107,0,500
quick_it,192,193,115,0,500
quick_it,193,195,112,0,500
quick_it,199,198,103,0,500
quick_it,211,186,103,0,500
quick_it,200,187,113,0,500
quick_it,190,202,108,0,500
quick_it,186,204,110,0,500
quick_it,204,189,107,0,500
quick_it,178,200,122,0,500
quick_it,178,184,138,0,500
quick_it,205,185,110,0,500
quick_it,191,200,109,0,500
quick_it,188,190,122,0,500
quick_it,198,186,116,0,500
quick_it,208,202,90,0,500
quick_it,197,186,117,0,500
quick_it,200,184,116,0,500
quick_it,185,199,116,0,500
quick_it,204,185,111,0,500
quick_it,188,194,118,0,500
quick_it,183,196,121,0,500
quick_it,214,175,111,0,500
quick_it,217,197,86,0,500
quick_it,198,191,111,0,500
quick_it,182,204,114,0,500
quick_it,174,193,133,0,500
quick_it,193,208,99,0,500
quick_it,185,210,105,0,500
quick_it,176,188,136,0,500
quick_it,190,198,112,0,500
quick_it,176,209,115,0,500
quick_it,200,187,113,0,500
quick_it,202,184,114,0,500
quick_it,187,207,106,0,500
quick_it,196,201,103,0,500
quick_it,175,215,110,0,500
quick_it,197,185,118,0,500
quick_it,178,205,117,0,500
quick_it,190,188,122,0,500
quick_it,181,194,125,0,500
quick_it,202,185,113,0,500
quick_it,204,180,116,0,500
quick_it,201,188,111,0,500
quick_it,202,186,112,0,500
quick_it,189,186,125,0,500
quick_it,192,191,117,0,500
quick_it,190,195,115,0,500
quick_it,191,185,124,0,500
quick_it,189,196,115,0,500
quick_it,186,203,111,0,500
quick_it,193,201,106,0,500
quick_it,196,203,101,0,500
quick_it,184,200,116,0,500
quick_it,204,175,121,0,500
quick_it,204,160,136,0,500
quick_it,181,197,122,0,500
quick_it,186,204,110,0,500
quick_it,175,208,117,0,500
quick_it,196,195,109,0,500
quick_it,187,188,125,0,500
quick_it,186,199,115,0,500
quick_it,188,181,131,0,500
quick_it,193,203,104,0,500
quick_it,194,174,132,0,500
quick_it,176,221,103,0,500
quick_it,208,188,104,0,500
quick_it,191,187,122,0,500
quick_it,203,204,93,0,500
quick_it,212,192,96,0,500
quick_it,219,168,113,0,500
quick_it,181,210,109,0,500
quick_it,184,185,131,0,500
quick_it,210,189,101,0,500
quick_it,171,203,126,0,500
quick_it,188,197,115,0,500
quick_it,202,195,103,0,500
quick_it,196,198,106,0,500
